County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes
Edgefield,Edgefield No.1,890,201.12461528798443,321.1183342754852,0.1677030337290371
Edgefield,Edgefield No.2,1171,364.8448589912694,439.6792915017901,0.22065196909741852
Edgefield,Johnston No.1,1345,400.8175365868978,285.6956849444131,2.25343885434332
Edgefield,Johnston No.2,1241,384.2591545757176,332.30657622008664,1.2338420953457696
Edgefield,Trenton No.1,1085,290.4215815589473,323.2229131335971,1.204446956849444
Edgefield,Merriweather No.1,2455,405.81565228314804,1118.2140569059732,1.4625965705671755
Edgefield,Westside,880,89.49400163306325,516.6001507443,0.16581872997927266
Edgefield,Harmony,814,163.3319515105835,362.18013943847745,0.15338232523082723
Edgefield,North Side,428,149.9902644306262,134.17825513472772,0.08064820048991897
Edgefield,Brunson,565,190.6296715030463,130.27736951196533,0.10646316186169211
Edgefield,Merriweather No.2,3101,502.55329439105583,1260.688713020539,0.5843225928019598
Edgefield,Trenton No.2,1946,603.7174172476604,411.8385151686452,1.3666855097041644
