County,Precinct,Reg_Voters,DEM_Votes,REP_Votes,OTHER_Votes
York,Bethany,1905,208.34558643165013,881.9814801836212,0.05562953358797351
York,Bethel,1581,305.25216385744824,552.7184882783754,0.04616813259978274
York,River Hills,2282,431.0900935627431,876.41403557954,1.066638632885961
York,Bethel School,2829,549.1305322914111,1064.8055682096926,2.0826120475172583
York,Bowling Green,1359,173.33630024179135,590.63088271367,0.039685320811577954
York,Bullocks Creek,407,53.67908329537092,202.66061020196003,0.011885154945042109
York,Cannon Mill,1467,215.700774433192,478.0518800154186,0.04283912114097488
York,Catawba,2574,435.18663489504854,1026.3671023583418,0.07516557451729333
York,Clover,1499,219.69765567508847,619.3618051418626,1.0437735804978332
York,Hampton Mill,1341,203.7755545432246,457.8940498300452,2.039159687423345
York,Cotton Belt,1722,220.64467182955462,686.4903458667694,0.05028559414093983
York,Delphia,1704,209.08392613098783,653.7535129831447,0.049759960752707014
York,Ebenezer,1214,257.8191821144479,550.6952844844704,1.0354510518508135
York,Filbert,1676,188.2116550443284,663.6073284975062,0.04894230881545596
York,Fort Mill No. 1,2723,623.8283631776291,976.4664412283469,1.079516650897665
York,Windjammer,2079,454.7661281844623,697.1041980586607,0.060710656340890776
York,Fort Mill No. 3,2039,521.5200266320917,558.4667916506056,1.059542582144818
York,Hickory Grove,991,165.87216595998177,415.5667437595636,1.028939038207707
York,Highland Park,1233,396.41108035182395,260.4730525282966,0.03600588709394821
York,Lakeshore,2249,494.06205978203735,757.0631752928946,0.06567497167420075
York,Independence,875,145.258471458107,410.818265176204,0.025551623039095445
York,McConnells,1415,250.08084241511023,618.923251684947,1.04132062468608
York,Mt. Holly,2803,786.3205662823702,802.7412540444569,1.0818527992898108
York,Newport,1853,432.72565441356835,704.8528518531497,0.05411103713307869
York,Mt. Gallant,1605,313.99982478887057,627.7009321232084,1.0468689771174264
York,Northside,1368,353.61667309107474,272.99929915548233,0.03994813750569436
York,Oakridge,2446,466.1991099274626,949.1274018525656,0.07142773708985994
York,Ogden,2034,637.3642639380454,568.2621158495988,0.05939657287030872
York,Oakwood,1977,428.58856922591724,596.9288117181203,0.057732067140904786
York,Airport,1501,379.759960752707,513.4436754622653,2.0438319842076367
York,Rock Hill No. 2,1701,718.99046851456,85.63070750254056,0.049672355188001546
York,Rock Hill No. 3,2100,955.4203314994569,168.96383642288959,0.06132389529382907
