Tract,Population,VAP,Hispanic,Hispanic any race,NH_White,NH_Black,NH_AINA,NH_Asian,NH_NHPI,NH_some_other,NH_2+,CVAP
45013000100,4045,3489,4045,119,1290,2612,0,0,0,0,24,3489
45013000200,6386,4770,6386,548,2073,3161,202,13,0,0,389,4746
45013000300,4279,2807,4279,634,2814,705,39,6,0,0,81,2689
45013000400,787,787,787,114,478,144,0,33,0,0,18,771
45013000501,7917,5882,7917,1476,3368,2938,0,65,0,0,70,5367
45013000502,7253,4907,7253,338,3577,2936,10,91,0,0,301,4696
45013000503,6369,5012,6369,687,3938,1546,0,138,0,0,60,4824
45013000600,2406,2028,2406,260,1533,582,0,0,0,0,31,1896
45013000700,5780,4619,5780,368,3776,1343,0,110,0,0,183,4471
45013000800,7132,5572,7132,518,3841,2251,0,125,0,55,342,5491
45013000901,3010,2432,3010,160,2330,380,42,32,0,0,66,2309
45013000902,9587,7290,9587,572,7317,1063,0,331,0,23,281,7270
45013000903,2352,1736,2352,46,1424,788,0,55,0,0,39,1646
45013001000,4083,3477,4083,764,2613,358,12,107,15,28,186,3398
45013001101,4417,3579,4417,113,2227,1946,7,105,0,8,11,3518
45013001102,6015,4791,6015,121,1460,4381,0,21,0,0,32,4648
45013001200,1154,1115,1154,22,1106,0,0,11,0,0,15,1115
45013002101,444,411,444,8,420,0,0,0,0,0,16,395
45013002102,3315,2655,3315,448,2526,287,22,0,0,10,22,2409
45013002103,7145,5122,7145,1032,5412,391,0,97,6,0,207,4678
45013002104,12195,11903,12195,133,11347,292,0,143,0,0,280,11719
45013002105,4251,3295,4251,423,3395,257,0,151,0,0,25,3099
45013002106,9648,7505,9648,1264,7338,624,40,140,0,154,88,6941
45013002107,10379,7605,10379,4656,4839,773,0,71,0,2,38,6399
45013002108,4399,3336,4399,792,3331,150,0,39,0,0,87,3010
45013002201,7150,6381,7150,246,6553,183,26,105,0,0,37,6264
45013002202,3401,2943,3401,23,3180,138,0,25,35,0,0,2943
45013010100,1880,1763,1880,0,1801,21,5,28,7,0,18,1733
45013010200,4028,3372,4028,530,3340,150,0,0,0,0,8,3112
45013010300,4062,3771,4062,211,3810,11,0,30,0,0,0,3529
45013010400,5554,4873,5554,574,4623,179,0,119,59,0,0,4626
45013010500,4364,3474,4364,677,2682,766,0,16,0,0,223,3204
45013010600,4404,4007,4404,51,4294,24,0,0,0,0,35,3972
45013010700,5089,4596,5089,14,5004,71,0,0,0,0,0,4564
45013010800,3628,2611,3628,1925,861,782,0,0,0,0,60,1692
45013010900,2114,1877,2114,311,1760,34,0,9,0,0,0,1669
45013011000,1733,1416,1733,383,1009,304,0,37,0,0,0,1167
45013011100,2117,1875,2117,14,1990,11,0,102,0,0,0,1843
45013011200,762,686,762,0,758,0,0,0,0,0,4,686
45013011300,1061,980,1061,60,963,11,0,10,0,0,17,934
45013990100,0,0,0,0,0,0,0,0,0,0,0,0
45015020101,2954,2525,2954,13,1302,1627,0,0,0,12,0,2525
